antecedente;consecuente;items_antecedente;items_consecuente;soporte_antecedente;soporte_consecuente;soporte;confianza;lift;leverage;conviccion;App
['lento'];['app'];1;1;0,05644302449414271;0,14696485623003194;0,013844515441959531;0,24528301886792453;1,6689909762100084;0,005549374461989677;1,1302715654952076;Banco Ripley
['app'];['lento'];1;1;0,14696485623003194;0,05644302449414271;0,013844515441959531;0,09420289855072464;1,6689909762100081;0,005549374461989677;1,0416869009584664;Banco Ripley
['llevar'];['app'];1;1;0,04046858359957402;0,14696485623003194;0,013844515441959531;0,3421052631578947;2,327803203661327;0,007897055871415107;1,2966134185303513;Banco Ripley
['app'];['llevar'];1;1;0,14696485623003194;0,04046858359957402;0,013844515441959531;0,09420289855072464;2,327803203661327;0,007897055871415107;1,0593226837060703;Banco Ripley
['app'];['quedar'];1;1;0,14696485623003194;0,10223642172523961;0,013844515441959531;0,09420289855072464;0,9214221014492754;-0,001180645578363223;0,9911309904153355;Banco Ripley
['problema'];['tarjeta'];1;1;0,08839190628328009;0,09158679446219382;0,013844515441959531;0,1566265060240964;1,7101428971700756;0,0057489840890712594;1,0771185151376843;Banco Ripley
['quedar'];['app'];1;1;0,10223642172523961;0,14696485623003194;0,013844515441959531;0,13541666666666669;0,9214221014492755;-0,001180645578363223;0,986643057854421;Banco Ripley
['abrir'];['app'];1;1;0,07454739084132056;0,14696485623003194;0,013844515441959531;0,1857142857142857;1,2636645962732918;0,002888668864640856;1,047587018664873;Banco Ripley
['ingresar'];['problema'];1;1;0,0617678381256656;0,08839190628328009;0,012779552715654952;0,20689655172413793;2,3406730369754882;0,007319775756730303;1,1494189007732556;Banco Ripley
['problema'];['ingresar'];1;1;0,08839190628328009;0,0617678381256656;0,012779552715654952;0,14457831325301204;2,3406730369754882;0,007319775756730303;1,0968066117685882;Banco Ripley
['intentar'];['problema'];1;1;0,04898828541001065;0,08839190628328009;0,012779552715654952;0,2608695652173913;2,9512833944473544;0,008449384782714713;1,2333521267932093;Banco Ripley
['problema'];['intentar'];1;1;0,08839190628328009;0,04898828541001065;0,012779552715654952;0,14457831325301204;2,9512833944473544;0,008449384782714713;1,111746088886889;Banco Ripley
['error'];['dejar'];1;1;0,06922257720979766;0,09158679446219382;0,012779552715654952;0,1846153846153846;2,0157423971377457;0,006439678764597871;1,1140916671690075;Banco Ripley
['dejar'];['funcionar'];1;1;0,09158679446219382;0,12460063897763578;0,012779552715654952;0,13953488372093023;1,1198568872987478;0,0013677796037522075;1,017356014161126;Banco Ripley
['tarjeta'];['banco'];1;1;0,09158679446219382;0,0979765708200213;0,012779552715654952;0,13953488372093023;1,4241658240647117;0,0038061926618510843;1,048297498776732;Banco Ripley
['pantalla'];['abrir'];1;1;0,03301384451544196;0,07454739084132056;0,012779552715654952;0,3870967741935484;5,192626728110598;0,010318456745387714;1,5099489938904769;Banco Ripley
['funcionar'];['dejar'];1;1;0,12460063897763578;0,09158679446219382;0,012779552715654952;0,10256410256410256;1,1198568872987478;0,0013677796037522075;1,0122318575992697;Banco Ripley
['aplicación'];['problema'];1;1;0,14909478168264112;0,08839190628328009;0,012779552715654952;0,0857142857142857;0,969707401032702;-0,0003992192541631672;0,9970713525026624;Banco Ripley
['aplicación'];['transferencia'];1;1;0,14909478168264112;0,059637912673056445;0,012779552715654952;0,0857142857142857;1,4372448979591834;0,0038878511456571854;1,0285210330138446;Banco Ripley
['problema'];['aplicación'];1;1;0,08839190628328009;0,14909478168264112;0,012779552715654952;0,14457831325301204;0,9697074010327021;-0,0003992192541631672;0,9947201847935322;Banco Ripley
['malo'];['app'];1;1;0,051118210862619806;0,14696485623003194;0,012779552715654952;0,25;1,7010869565217392;0,005266972205493574;1,1373801916932906;Banco Ripley
['app'];['malo'];1;1;0,14696485623003194;0,051118210862619806;0,012779552715654952;0,08695652173913043;1,7010869565217392;0,005266972205493574;1,03925148334094;Banco Ripley
['app'];['transferencia'];1;1;0,14696485623003194;0,059637912673056445;0,012779552715654952;0,08695652173913043;1,4580745341614907;0,004014875453800011;1,029920381358081;Banco Ripley
['banco'];['tarjeta'];1;1;0,0979765708200213;0,09158679446219382;0,012779552715654952;0,13043478260869565;1,4241658240647117;0,0038061926618510843;1,0446751863684771;Banco Ripley
['problema'];['solucionar'];1;1;0,08839190628328009;0,022364217252396165;0,012779552715654952;0,14457831325301204;6,464716006884681;0,010802736920182235;1,1428699995500158;Banco Ripley
['transferencia'];['app'];1;1;0,059637912673056445;0,14696485623003194;0,012779552715654952;0,21428571428571427;1,4580745341614907;0,004014875453800011;1,0856810920708684;Banco Ripley
['transferencia'];['aplicación'];1;1;0,059637912673056445;0,14909478168264112;0,012779552715654952;0,21428571428571427;1,4372448979591834;0,0038878511456571854;1,0829702778584567;Banco Ripley
['abrir'];['pantalla'];1;1;0,07454739084132056;0,03301384451544196;0,012779552715654952;0,1714285714285714;5,192626728110598;0,010318456745387714;1,167052256619294;Banco Ripley
['blanco'];['app'];1;1;0,07880724174653887;0,14696485623003194;0,012779552715654952;0,16216216216216214;1,1034077555816686;0,0011976577624894947;1,0181387199835101;Banco Ripley
['error'];['momento'];1;1;0,06922257720979766;0,04046858359957402;0,012779552715654952;0,1846153846153846;4,561943319838056;0,009978213062862288;1,1767838125665602;Banco Ripley
['problema'];['llevar'];1;1;0,08839190628328009;0,04046858359957402;0,012779552715654952;0,14457831325301204;3,572606214331008;0,00920245746670432;1,1217057402990895;Banco Ripley
['llevar'];['problema'];1;1;0,04046858359957402;0,08839190628328009;0,012779552715654952;0,3157894736842105;3,572606214331008;0,00920245746670432;1,3323502908167444;Banco Ripley
['momento'];['error'];1;1;0,04046858359957402;0,06922257720979766;0,012779552715654952;0,3157894736842105;4,561943319838056;0,009978213062862288;1,3603670025395265;Banco Ripley
['app'];['blanco'];1;1;0,14696485623003194;0,07880724174653887;0,012779552715654952;0,08695652173913043;1,1034077555816686;0,0011976577624894947;1,0089254018966478;Banco Ripley
['solucionar'];['problema'];1;1;0,022364217252396165;0,08839190628328009;0,012779552715654952;0,5714285714285714;6,464716006884681;0,010802736920182235;2,1270855520056795;Banco Ripley
['dejar'];['error'];1;1;0,09158679446219382;0,06922257720979766;0,012779552715654952;0,13953488372093023;2,0157423971377457;0,006439678764597871;1,0817143021615865;Banco Ripley
['problema'];['pagar'];1;1;0,08839190628328009;0,09904153354632587;0,011714589989350373;0,13253012048192772;1,3381267003497863;0,0029601200379711957;1,038604898828541;Banco Ripley
['banco'];['cambiar'];1;1;0,0979765708200213;0,024494142705005325;0,011714589989350373;0,11956521739130435;4,881379962192817;0,00931473788193771;1,1079819613720927;Banco Ripley
['funcionar'];['app'];1;1;0,12460063897763578;0,14696485623003194;0,011714589989350373;0,09401709401709403;0,6397250092902268;-0,006597325004167983;0,941557658689493;Banco Ripley
